STATE_NAME,likes,retweet_count,user_followers_count,TextBlob_Subjectivity,TextBlob_Polarity
Alabama,3.395513577331759,0.7591499409681228,6022.5796930342385,0.3562526372518994,0.07885429550062076
Alaska,1.160655737704918,0.25245901639344265,3501.511475409836,0.3460779572799479,0.06597140083135217
Arizona,3.6226876090750437,0.937521815008726,3226.875392670157,0.3369773594013123,0.05439239195178473
Arkansas,1.1647634584013051,0.25122349102773245,1034.484502446982,0.306879160806567,0.04239931866900923
California,5.0541697074238705,1.3110860479002189,7302.158661182247,0.32459538942505684,0.0425849469685037
Colorado,1.427860696517413,0.34991708126036486,3484.7025981205084,0.338561208816443,0.03225037932699499
Connecticut,6.236634531113059,2.595968448729185,3952.45574057844,0.2846638004516432,0.04448472288371891
Delaware,0.6122448979591837,0.1346938775510204,1614.330612244898,0.22575335105182043,0.014956730202903671
District of Columbia,37.07786799916719,8.479700187382885,21396.684676244015,0.3083892131715011,0.046989779499701366
Florida,3.2482647814910024,1.1245501285347044,32686.844858611825,0.3083309785689229,0.0606831587896074
Georgia,4.212795549374131,1.0226008344923505,12315.285813630042,0.3186638994328059,0.0693326266040697
Hawaii,3.31390134529148,0.5680119581464873,9458.841554559043,0.3419476854158593,0.04102813759196109
Idaho,1.0575657894736843,0.22039473684210525,2316.8042763157896,0.37571333005749125,0.03728156331720143
Illinois,3.3445054130209106,0.8720154234020465,7023.822630876464,0.33668936969361485,0.04133558544204413
Indiana,1.7779179810725552,0.42397476340694007,1447.8946372239748,0.39959381959485607,0.026929152671285952
Iowa,2.963636363636364,1.1238636363636363,6337.639772727272,0.33318503171661995,0.05068185902366858
Kansas,13.367757115319197,3.332463998185735,15102.012614808935,0.3189336288604154,0.05583861678713134
Kentucky,5.5168463611859835,2.7371967654986524,6454.987196765499,0.3296010313140114,0.0795665610202779
Louisiana,6.083555555555556,0.8791111111111111,5228.981333333333,0.34442378077066965,0.0612360617050131
Maine,1.719387755102041,0.29846938775510207,2064.3520408163267,0.3443800467289747,0.05591527642164068
Maryland,1.719290465631929,0.47095343680709534,2065.6252771618624,0.36077550227872524,0.043432759120367016
Massachusetts,1.9423362306550773,0.6849692601229596,5370.614585541658,0.3624950759676309,0.047272677465449366
Michigan,1.915270935960591,0.49195402298850577,2516.3546798029556,0.3649940030267558,0.0587451601077377
Minnesota,2.0582097748489843,0.4596375617792422,2129.412410763317,0.3590604314090821,0.03525231265513515
Mississippi,2.4271356783919598,0.7688442211055276,750.6130653266332,0.34168660342475854,0.04691712066913969
Missouri,1.0898827616152844,0.2761615284411637,2329.632218844985,0.3329181742749191,0.037154658842910665
Montana,0.9132947976878613,0.15028901734104047,1687.1271676300578,0.34011645253697276,0.03894399548481919
Nebraska,2.5431472081218276,0.3604060913705584,2942.0812182741115,0.33346390377409235,0.06914195856969153
Nevada,3.6168341708542715,1.1549413735343383,9086.58458961474,0.340793350629624,0.05728349796592741
New Hampshire,2.827205882352941,0.9816176470588235,3266.6801470588234,0.3004866112322454,0.05302836131295953
New Jersey,5.7964192315429495,1.6328706497686583,9006.238784952726,0.3237540749893377,0.0441698273543007
New Mexico,1.1653386454183268,0.33665338645418325,2861.737051792829,0.3002569032260978,0.04352447440665022
New York,27.85772071755188,6.547397115722828,12947.662020752727,0.32754621138039447,0.05021655661112059
North Carolina,2.9619917501473187,0.8762522097819682,2359.232174425457,0.3344828320706937,0.05193461222087
North Dakota,1.2380952380952381,0.22981366459627328,841.1511387163561,0.31982196197905305,0.07410830466811963
Ohio,1.738621586475943,0.40598179453836153,1854.2845253576072,0.338753879386691,0.05105394791764747
Oklahoma,1.5312868949232585,0.5844155844155844,2467.8217237308145,0.3430474811524314,0.054293791116302816
Oregon,1.0144787644787645,0.41763191763191765,1618.178893178893,0.3659004441253945,0.03353782974695965
Pennsylvania,4.035658251319355,0.9186991869918699,3876.440593353302,0.3597192068566083,0.042885771807854335
Rhode Island,21.476923076923075,9.311538461538461,10203.511538461538,0.3085901523689985,0.03668635666008337
South Carolina,8.403669724770642,2.351376146788991,4655.68623853211,0.3177172406642918,0.040044496389141294
South Dakota,0.5333333333333333,0.05333333333333334,371.88,0.30434848484848487,0.03653910383597884
Tennessee,4.727474478473147,1.4909010208610742,3497.0195295162007,0.3329841653041276,0.05832507797136618
Texas,4.640922890103218,1.826836672738312,4365.667759562842,0.3242884488842459,0.043267273971090585
Utah,0.9727371864776445,0.17121046892039257,2572.3053435114502,0.28344934890123,0.056987642488852276
Vermont,1.3938393839383938,0.24092409240924093,7417.6589658965895,0.39649099193089843,0.018958415148505808
Virginia,2.588792748248867,0.7408323032550473,3171.067161104244,0.33320967058544804,0.05526752986947076
Washington,1.204765450483991,0.3473566641846612,2139.715189873418,0.36390255773657804,0.07470113425536978
West Virginia,3.35,0.87,1611.9433333333334,0.3321081726276369,0.06121390439972285
Wisconsin,2.197020988490183,0.5768449559918755,1608.4414353419093,0.3408670975601127,0.0492800385799938
Wyoming,1.0446096654275092,0.16728624535315986,709.6617100371748,0.35599385142600753,0.0660721681974078
